"Date","Longitude","Latitude","Depth","Rms","Type","Magnitude","Location","EventID"
"3/22/2025","37.9019","38.9464","9.8","0.14","ML","1.1","Hekimhan (Malatya)","655723"
"3/22/2025","33.5936","39.5856","1.71","0.24","ML","1.1","Keskin (Kırıkkale)","655718"
"3/22/2025","28.6683","35.9147","32.96","0.46","ML","2.2","Akdeniz - [71.04 km] Kaş (Antalya)","655721"
"3/22/2025","28.1528","39.4683","10.36","0.44","ML","1.7","Bigadiç (Balıkesir)","655720"
"3/22/2025","30.3236","40.5858","6.96","0.19","ML","1","Geyve (Sakarya)","655719"
"3/22/2025","38.6925","37.1042","5.37","0.29","ML","1.8","Eyyübiye (Şanlıurfa)","655716"
"3/22/2025","26.2744","39.8739","7","0.31","ML","1","Ezine (Çanakkale)","655714"
"3/22/2025","33.6311","39.5794","7.2","0.29","ML","0.7","Keskin (Kırıkkale)","655717"
"3/22/2025","29.5022","40.7886","7.12","0.45","ML","1","Gebze (Kocaeli)","655715"
"3/22/2025","38.2383","38.2472","8.53","0.17","ML","1.3","Yeşilyurt (Malatya)","655711"
"3/22/2025","34.3872","39.1506","7","0.25","ML","1.1","Mucur (Kırşehir)","655713"
"3/22/2025","38.2092","38.2986","7","0.31","ML","2.2","Yeşilyurt (Malatya)","655712"
"3/22/2025","33.8592","37.4158","6.88","0.28","ML","1.6","Ayrancı (Karaman)","655708"
"3/22/2025","28.8192","39.9678","7.65","0.42","ML","1.5","Orhaneli (Bursa)","655709"
"3/22/2025","27.0086","40.2944","7","0.28","ML","1.2","Biga (Çanakkale)","655710"
"3/22/2025","30.2081","39.8039","7","0.23","ML","0.8","İnönü (Eskişehir)","655705"
"3/22/2025","29.4608","39.6197","7.08","0.31","ML","1.1","Tavşanlı (Kütahya)","655706"
"3/22/2025","37.3814","37.5061","4.38","0.22","ML","1.4","Pazarcık (Kahramanmaraş)","655707"
"3/22/2025","32.6886","38.1389","6.71","0.39","ML","1.3","Selçuklu (Konya)","655702"
"3/22/2025","27.6625","39.0886","7.71","0.22","ML","1.3","Kırkağaç (Manisa)","655704"
"3/22/2025","32.8411","38.0836","7","0.14","ML","0.8","Selçuklu (Konya)","655703"
"3/22/2025","33.3889","39.88","7.38","0.26","ML","1.2","Yahşihan (Kırıkkale)","655701"
"3/22/2025","38.8875","38.3631","10","0.16","ML","1.5","Karakaya Barajı - [02.15 km] Sivrice (Elazığ)","655700"
